Acanthoceras zachariasii
Achnanthes brevipes
Achnanthes coarctata
Achnanthes felinophila
Achnanthes inflata
Achnanthes longboardia
Achnanthes mauiensis
Achnanthes rostellata
Achnanthes tumescens
Achnanthes undulorostrata
Achnanthidium affine
Achnanthidium alpestre
Achnanthidium atomus
Achnanthidium catenattum
Achnanthidium crassum
Achnanthidium deflexum
Achnanthidium delmontii
Achnanthidium druartii
Achnanthidium duthiei
Achnanthidium eutrophilum
Achnanthidium exiguum
Achnanthidium gracillimum
Achnanthidium kranzii
Achnanthidium latecephalum
Achnanthidium minutissimum
Achnanthidium pyrenaicum
Achnanthidium reimeri
Achnanthidium rivulare
Achnanthidium rosenstockii
Achnanthidium subhudsonis
Achnanthidium subhudsonis var. kraeuselii
Actinella punctata
Actinocyclus normanii
Adlafia detenta
Adlafia multnomahii
Adlafia suchlandtii
Amphipleura pellucida
Amphora bicapitata
Amphora calumetica
Amphora copulata
Amphora delphinea var. minor
Amphora minutissima
Amphora montana
Amphora oligotraphenta
Amphora ovalis
Amphora pediculus
Aneumastus carolinianus
Aneumastus minor
Aneumastus pseudotusculus
Aneumastus rostratus
Aneumastus tusculus
Anomoeoneis capitata
Anomoeoneis costata
Anomoeoneis fogedii
Anomoeoneis monoensis
Anomoeoneis sculpta
Anomoeoneis sphaerophora
Anomoeoneis sphaerophora  f. rostrata
Asterionella A. ralfsii var. americana
Asterionella formosa
Aulacoseira alpigena
Aulacoseira ambigua
Aulacoseira canadensis
Aulacoseira crassipunctata
Aulacoseira granulata
Aulacoseira granulata var. angustissima
Aulacoseira herzogii
Aulacoseira humilis
Aulacoseira islandica
Aulacoseira italica
Aulacoseira lirata
Aulacoseira muzzanensis
Aulacoseira nivalis
Aulacoseira nivaloides
Aulacoseira nygaardii
Aulacoseira pusilla
Aulacoseira subarctica
Aulacoseira tenella
Aulacoseira valida
Bacilaria paxillifer
Biremis circumtexta
Biremis undulata
Boreozonacola hustedtii
Boreozonacola olympica
Brachysira arctoborealis
Brachysira brebissonii
Brachysira follis
Brachysira hannae
Brachysira microcephala
Brachysira neoacuta
Brachysira ocalanensis
Brachysira serians
Brachysira styriaca
Brachysira subirawanae
Brachysira subtilis
Brachysira vitrea
Brachysira zellensis
Brebissonia lanceolata
Caloneis amphisbaena
Caloneis bacillum
Caloneis fusus
Caloneis lewisii
Caloneis silicula
Campylodiscus hibernicus
Capartogramma crucicula
Cavinula cocconeiformis
Cavinula davisiae
Cavinula jaernefeltii
Cavinula lapidosa
Cavinula maculata
Cavinula pseudoscutiformis
Cavinula pusio
Cavinula scutelloides
Cavinula scutiformis
Cavinula variostriata
Cavinula vincentii
Chaetoceros lauderi
Chaetoceros muelleri
Chamaepinnularia hassiaca
Chamaepinnularia mediocris
Chamaepinnularia soehrensis
Chamaepinnularia witkowskii
Cocconeis cascadensis
Cocconeis fluviatilis
Cocconeis grovei
Cocconeis klamathensis
Cocconeis neodiminuta
Cocconeis pediculus
Cocconeis placentula
Cocconeis placentula sensu lato
Cocconeis pseudothumensis
Cocconeis rugosa
Cosmioneis citriformis
Cosmioneis hawaiiensis
Cosmioneis reimeri
Craticula accomoda
Craticula accomodiformis
Craticula acidoclinata
Craticula ambigua
Craticula buderi
Craticula citrus
Craticula coloradensis
Craticula cuspidata
Craticula halophila
Craticula johnstoniae
Craticula molestiformis
Craticula pampeana
Craticula riparia
Craticula sardiniana
Craticula subminuscula
Ctenophora pulchella
Cyclostephanos dubius
Cyclostephanos invisitatus
Cyclostephanos tholiformis
Cyclotella atomus
Cyclotella distinguenda
Cyclotella gamma
Cyclotella meneghiniana
Cyclotella quillensis
Cylindrotheca fusiformis
Cymatopleura internationale
Cymbella affiniformis
Cymbella affinis
Cymbella alpestris
Cymbella amplificata
Cymbella aspera
Cymbella blinnii
Cymbella compacta
Cymbella cosleyi
Cymbella cymbiformis
Cymbella designata
Cymbella excisa
Cymbella excisiformis
Cymbella fontinalis
Cymbella hantzschiana
Cymbella hustedtii
Cymbella janischii
Cymbella laevis
Cymbella lanceolata
Cymbella maggiana
Cymbella mexicana
Cymbella mexicana var. kamtschatica
Cymbella neocistula
Cymbella neocistula var. islandica
Cymbella neoleptoceros
Cymbella parva
Cymbella perfossilis
Cymbella proxima
Cymbella proxima  f. gravida
Cymbella rumrichae
Cymbella stigmaphora
Cymbella subleptoceros
Cymbella subturgidula
Cymbella tropica
Cymbella tumida
Cymbella turgidula
Cymbella vulgata
Cymbellonitzschia diluviana
Cymbopleura amphicephala
Cymbopleura anglica
Cymbopleura angustata
Cymbopleura apiculata
Cymbopleura austriaca
Cymbopleura crassipunctata
Cymbopleura edlundii
Cymbopleura elliptica
Cymbopleura florentina
Cymbopleura fluminea
Cymbopleura frequens
Cymbopleura heinii
Cymbopleura hybrida
Cymbopleura inaequalis
Cymbopleura incerta
Cymbopleura incertiformis
Cymbopleura incertiformis var. laterostrata
Cymbopleura incertiformis var. linearis
Cymbopleura lapponica
Cymbopleura laszlorum
Cymbopleura lata
Cymbopleura maggieae
Cymbopleura metzeltinii
Cymbopleura naviculiformis
Cymbopleura oblongata
Cymbopleura perprocera
Cymbopleura rainierensis
Cymbopleura rupicola
Cymbopleura stauroneiformis
Cymbopleura subaequalis
Cymbopleura subcuspidata
Cymbopleura sublanceolata
Cymbopleura subrostrata
Cymbopleura tundraphila
Cymbopleura tynnii
Decussata placenta
Delicata alpestris
Delicata canadensis
Delicata delicatula
Delicata montana
Denticula creticola
Denticula subtilis
Denticula tenuis
Diadesmis confervacea
Diatoma ehrenbergii
Diatoma moniliformis
Diatoma tenuis
Diatoma vulgaris
Diatomella balfouriana
Didymosphenia geminata
Diploneis abscondita
Diploneis boldtiana
Diploneis calcicolafrequens
Diploneis calcilacustris
Diploneis elliptica
Diploneis finnica
Diploneis krammeri
Diploneis mollenhaueri
Diploneis ovalis
Diploneis parma
Diploneis potapovae
Diploneis puella
Diploneis puellafallax
Diploneis submarginestriata
Diploneis texana
Diprora haenaensis
Discostella asterocostata
Discostella lakuskarluki
Discostella pseudostelligera
Discostella stelligera
Distrionella incognita
Ellerbeckia arenaria
Encyonema appalachianum
Encyonema auerswaldii
Encyonema evergladianum
Encyonema gracile
Encyonema hamsherae
Encyonema hebridicum
Encyonema lange-bertalotii
Encyonema latum
Encyonema leibleinii
Encyonema lunatum
Encyonema minutum
Encyonema minutum var. pseudogracilis
Encyonema montana
Encyonema neogracile
Encyonema nicafei
Encyonema norvegicum
Encyonema obscurum
Encyonema paucistriatum
Encyonema pergracile
Encyonema procerum
Encyonema reichardtii
Encyonema reimeri
Encyonema sibericum
Encyonema silesiacum
Encyonema temperei
Encyonema triangulum
Encyonema yellowstonianum
Encyonopsis aequaliformis
Encyonopsis albertana
Encyonopsis alpina
Encyonopsis anacondae
Encyonopsis bobmarshallensis
Encyonopsis cesatiformis
Encyonopsis cesatii
Encyonopsis czarneckii
Encyonopsis dakotae
Encyonopsis descripta
Encyonopsis descriptiformis
Encyonopsis falaisensis
Encyonopsis hustedtii
Encyonopsis krammeri
Encyonopsis kutenaiorum
Encyonopsis lacusalpini
Encyonopsis lacuscaerulei
Encyonopsis medicinalis
Encyonopsis microcephala
Encyonopsis minuta
Encyonopsis montana
Encyonopsis neerlandica
Encyonopsis perborealis
Encyonopsis robusta
Encyonopsis stafsholtii
Encyonopsis subminuta
Encyonopsis thumensis
Entomoneis alata
Entomoneis ornata
Entomoneis paludosa
Entomoneis punctulata
Envekadea metzeltinii
Envekadea pachycephala
Envekadea vanlandinghamii
Eolimna aboensis
Eolimna metafarta
Epithemia adnata
Epithemia alpestris
Epithemia argus
Epithemia gibba
Epithemia gibberula
Epithemia musculus
Epithemia reichelti
Epithemia smithii
Epithemia sorex
Epithemia turgida
Eucocconeis alpestris
Eucocconeis americana
Eucocconeis depressa
Eucocconeis flexella
Eucocconeis laevis
Eunotia areniverma
Eunotia bactriana
Eunotia bidens
Eunotia bidentula
Eunotia bilii
Eunotia bilunaris
Eunotia boomsma
Eunotia canicula
Eunotia cataractarum
Eunotia charliereimeri
Eunotia diadema
Eunotia enischna
Eunotia eruca
Eunotia exigua
Eunotia faba
Eunotia formica
Eunotia gibbosa
Eunotia hexaglyphis
Eunotia horstii
Eunotia incisa
Eunotia kociolekii
Eunotia lewisii
Eunotia macroglossa
Eunotia metamonodon
Eunotia microcephala
Eunotia minor
Eunotia minutula
Eunotia montuosa
Eunotia mucophila
Eunotia mydohaimasiae
Eunotia naegelii
Eunotia novaeangliae
Eunotia nymanniana
Eunotia obliquestriata
Eunotia orthohedra
Eunotia paludosa
Eunotia panda
Eunotia papilioforma
Eunotia pectinalis
Eunotia perpusilla
Eunotia rhomboidea
Eunotia richbuttensis
Eunotia rushforthii
Eunotia sarraceniae
Eunotia serra
Eunotia spatulata
Eunotia subherkiniensis
Eunotia sudetica
Eunotia superbidens
Eunotia tauntoniensis
Eunotia tenella
Eunotia tetraodon
Eunotia trinacria
Eunotia triodon
Eunotia zasuminensis
Eupodiscus radiatus
Fallacia californica
Fallacia hummii
Fallacia latelongitudinalis
Fallacia pygmaea
Fallacia subhamulata
Fallacia tenera
Fallacia vitrea
Fragilaria amphicephaloides
Fragilaria crotonensis
Fragilaria mesolepta
Fragilaria pennsylvanica
Fragilaria recapitellata
Fragilaria socia
Fragilaria synegrotesca
Fragilaria tenera
Fragilaria vaucheriae
Fragilariforma acidobiontica
Fragilariforma bicapitata
Fragilariforma constricta
